"TIV of arms exports from the top 50 largest exporters, 2016-2016",,,,,
Generated: 04 March 2017,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,
Figures may not add up due to the conventions of rounding.,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,
,,,,,
,,,,,
Source: SIPRI Arms Transfers Database,,,,,
,,,,,
,Rank 2016-2016,Rank 2015-2015,Supplier,2016,2016-2016
,1,1,United States,9894,9894
,2,2,Russia,6432,6432
,3,4,Germany (FRG),2813,2813
,4,3,France,2226,2226
,5,5,China,2123,2123
,6,7,United Kingdom,1393,1393
,7,8,Israel,1260,1260
,8,9,Italy,802,802
,9,17,South Korea,534,534
,10,13,Ukraine,528,528
,11,6,Spain,483,483
,12,10,Netherlands,466,466
,13,14,Turkey,277,277
,14,16,Sweden,249,249
,15,11,Switzerland,186,186
,16,38,Portugal,169,169
,17,15,Norway,150,150
,18,19,Czech Republic,129,129
,19,20,Australia,127,127
,20,12,Canada,127,127
,21,26,Brazil,109,109
,22,,Indonesia,94,94
,23,18,Belarus,81,81
,24,27,Uzbekistan,68,68
,25,30,Finland,66,66
,26,23,South Africa,59,59
,27,24,Singapore,46,46
,28,25,India,42,42
,29,29,Denmark,25,25
,30,37,Unknown supplier(s),21,21
,31,32,Jordan,20,20
,32,36,Austria,14,14
,33,33,Belgium,13,13
,34,22,UAE,12,12
,35,,Brunei,12,12
,36,,Georgia,7,7
,37,42,New Zealand,6,6
,38,21,Bulgaria,4,4
,39,34,Poland,3,3
,40,,Thailand,2,2
,41,,Pakistan,1,1
,42,40,Malta,,
,43,31,Egypt,,
,44,44,Bahamas,,
,45,43,Estonia,,
,46,35,Iran,,
,47,39,Slovakia,,
,48,28,Serbia,,
,49,41,Taiwan (ROC),,
,,,,,
,,,Others,,
,,,Total,31075,31075
