"TIV of arms exports from the top 50 largest exporters, 2015-2016",,,,,,
Generated: 04 March 2017,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,
,,,,,,
,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,
,,,,,,
,Rank 2015-2016,Rank 2014-2015,Supplier,2015,2016,2015-2016
,1,1,United States,10184,9894,20078
,2,2,Russia,5554,6432,11986
,3,4,Germany (FRG),1792,2813,4604
,4,3,France,2080,2226,4306
,5,5,China,1764,2123,3887
,6,6,United Kingdom,1139,1393,2532
,7,10,Israel,694,1260,1953
,8,7,Spain,1151,483,1634
,9,8,Italy,692,802,1494
,10,9,Netherlands,474,466,941
,11,11,Ukraine,347,528,875
,12,17,South Korea,165,534,699
,13,12,Switzerland,437,186,623
,14,15,Turkey,290,277,567
,15,13,Canada,357,127,485
,16,14,Sweden,185,249,434
,17,16,Norway,240,150,390
,18,20,Czech Republic,138,129,267
,19,18,Belarus,142,81,223
,20,19,Australia,83,127,210
,21,36,Portugal,7,169,176
,22,24,Brazil,38,109,148
,23,22,South Africa,61,59,120
,24,33,Uzbekistan,34,68,102
,25,,Indonesia,,94,94
,26,29,Singapore,48,46,94
,27,23,Finland,23,66,89
,28,25,India,42,42,84
,29,27,UAE,63,12,75
,30,26,Bulgaria,66,4,69
,31,30,Denmark,25,25,50
,32,21,Jordan,18,20,38
,33,31,Serbia,29,,29
,34,34,Unknown supplier(s),7,21,28
,35,38,Belgium,11,13,24
,36,37,Austria,9,14,23
,37,35,Egypt,22,,22
,38,32,Poland,11,3,14
,39,,Brunei,,12,12
,40,28,Iran,9,,9
,41,,Georgia,,7,7
,42,45,New Zealand,1,6,7
,43,40,Slovakia,6,,6
,44,43,Malta,5,,5
,45,44,Taiwan (ROC),4,,4
,46,,Thailand,,2,2
,47,,Pakistan,,1,1
,48,47,Estonia,0,,0
,49,48,Bahamas,0,,0
,50,46,North Korea,,,
,,,,,,
,,,Others,,,
,,,Total,28448,31075,59523
