Country,Terrorist Attacks, Countries Bombed
France,9, 2
Germany,4, 1
Bosnia Herzegovina,2,0
United States,3,7
Denmark,1,1
Belgium,1,1
Russia,1,1
Finland,0,0
Sweden,0,0
Norway,0,0
Iceland,0,0
Poland,0,0
Hungary,0,0
Italy,0,0
Spain,0,0
Switzerland,0,0
Bulgaria,0,0
Malta,0,0
Cyprus,0,0
Netherlands,0,1
Austria,0,0
Slovakia,0,0
Portugal,0,0
Lithunia,0,0
Estonia,0,0
Ireland,0,0
Greece,0,0
United Kingdom,0,2
Romania,0,0
Czech Republic,0,0
Slovenia,0,0
Luxembourg,0,0
Croatia,0,0
Latvia,0,0
Liechtenstein,0,0
Canada,0,0
Russia, 1,1
Afganistan, 19,0
Iraq, 21,1
Pakistan, 10,0
Nigeria, 21,0
Somalia, 7,0
Saudi Arabia,3,3
Egypt,7
Turkey,4,1
Libya,4,0
Yemen,3,0
China,0,0
Syria,0,0
Iran,0,0
