Country;refugees per 1000 inhabitants;2014;;;;;;;;;
Afghanistan;7,14;205,56;;;;;;;;;
Albania;0,05;154,00;;;;;;;;;
Algeria;2,42;94,14;;;;;;;;;
Angola;0,64;15,57;;;;;;;;;
Argentina;0,08;3,52;;;;;;;;;
Armenia;5,22;3,24;;;;;;;;;
Aruba;;;;;;;;;;;
Australia;1,51;35,58;;;;;;;;;
Austria;7,13;60,75;;;;;;;;;
Azerbaijan;0,14;1,36;;;;;;;;;
Bahamas;0,02;7,00;;;;;;;;;
Bahrain;0,20;277,00;;;;;;;;;
Bangladesh;1,46;32,98;;;;;;;;;
Barbados;;1,00;;;;;;;;;
Belarus;0,14;1,37;;;;;;;;;
Belgium;2,77;31,12;;;;;;;;;
Belize;;;;;;;;;;;
Benin;0,05;488,00;;;;;;;;;
Bolivia;0,07;767,00;;;;;;;;;
Bosnia and Herzegovina;1,78;6,81;;;;;;;;;
Botswana;0,97;2,16;;;;;;;;;
Brazil;0,04;7,76;;;;;;;;;
British Virgin Islands;;;;;;;;;;;
Bulgaria;1,53;11,05;;;;;;;;;
Burkina Faso;1,93;34,03;;;;;;;;;
Burundi;5,00;54,13;;;;;;;;;
Cambodia;0,01;80,00;;;;;;;;;
Cameroon;13,27;288,55;;;;;;;;;
Canada;4,19;149,16;;;;;;;;;
CAR;1,65;7,91;;;;;;;;;
Cayman Islands;0,10;6,00;;;;;;;;;
Chad;30,97;420,77;;;;;;;;;
Chile;0,10;1,80;;;;;;;;;
China;0,22;301,06;;;;;;;;;
Colombia;;219,00;;;;;;;;;
Congo;13,65;61,49;;;;;;;;;
Costa Rica;0,73;3,48;;;;;;;;;
Ivory Coast;0,09;1,97;;;;;;;;;
Croatia;0,17;669,00;;;;;;;;;
Cuba;0.03;313,00;;;;;;;;;
Curaçao;0.28;44,00;;;;;;;;;
Cyprus;4.99;5,76;;;;;;;;;
Czech Republic;0.30;3,14;;;;;;;;;
DRC;2.14;160,27;;;;;;;;;
Denmark;3.15;17,79;;;;;;;;;
Djibouti;16.88;14,79;;;;;;;;;
Dominican Republic;0.06;609,00;;;;;;;;;
Ecuador;7.65;53,38;;;;;;;;;
Egypt;2.53;226,34;;;;;;;;;
El Salvador;0.01;48,00;;;;;;;;;
Eritrea;0.58;2,94;;;;;;;;;
Estonia;0.09;117,00;;;;;;;;;
Ethiopia;7.24;702,47;;;;;;;;;
Fiji;0.01;12,00;;;;;;;;;
Finland;2.15;11,80;;;;;;;;;
France;4.13;264,97;;;;;;;;;
Gabon;0.60;1,01;;;;;;;;;
Gambia;6.11;11,77;;;;;;;;;
Georgia;0.41;1,06;;;;;;;;;
Germany;3.10;250,30;;;;;;;;;
Ghana;0.69;18,48;;;;;;;;;
Greece;0.75;7,30;;;;;;;;;
Grenada;;;;;;;;;;;
Guatemala;0.01;202,00;;;;;;;;;
Guinea;0.71;8,70;;;;;;;;;
Guinea-Bissau;4.82;8,68;;;;;;;;;
Guyana;0.01;11,00;;;;;;;;;
Haiti;;5,00;;;;;;;;;
Honduras;;23,00;;;;;;;;;
Hong Kong;0.02;151,00;;;;;;;;;
Hungary;0.42;4,19;;;;;;;;;
Iceland;0.32;104,00;;;;;;;;;
India;0.15;200,38;;;;;;;;;
Indonesia;0.02;5,28;;;;;;;;;
Iran;12.53;979,44;;;;;;;;;
Iraq;8.17;288,04;;;;;;;;;
Ireland;1.25;5,85;;;;;;;;;
Israel;4.85;361,00;;;;;;;;;
Italy;1.57;93,72;;;;;;;;;
Jamaica;0.01;15,00;;;;;;;;;
Japan;0.02;2,42;;;;;;;;;
Jordan;89.55;664,10;;;;;;;;;
Kazakhstan;0.04;662,00;;;;;;;;;
Kenya;12.31;552,27;;;;;;;;;
Kuwait;0.16;593,00;;;;;;;;;
Kyrgyzstan;0.07;433,00;;;;;;;;;
Latvia;0.10;195,00;;;;;;;;;
Lebanon;208.91;1172,39;;;;;;;;;
Lesotho;0.02;44,00;;;;;;;;;
Liberia;8.85;38,90;;;;;;;;;
Libya;4.47;27,95;;;;;;;;;
Liechtenstein;2.89;107,00;;;;;;;;;
Lithuania;0.36;1,06;;;;;;;;;
Luxembourg;2.14;1,19;;;;;;;;;
Macao;;;;;;;;;;;
Macedonia;0.40;584,00;;;;;;;;;
Madagascar;;10,00;;;;;;;;;
Malawi;0.54;8,96;;;;;;;;;
Malaysia;3.26;97,39;;;;;;;;;
Mali;0.88;14,97;;;;;;;;;
Malta;14.58;6,10;;;;;;;;;
Mauritania;19.36;50,85;;;;;;;;;
Mexico;0.02;2,16;;;;;;;;;
Micronesia;;;;;;;;;;;
Moldova;0.10;389,00;;;;;;;;;
Monaco;0.87;33,00;;;;;;;;;
Mongolia;;11,00;;;;;;;;;
Montenegro;9.92;6,20;;;;;;;;;
Morocco;0.06;2,14;;;;;;;;;
Mozambique;0.17;4,55;;;;;;;;;
Namibia;0.69;1,66;;;;;;;;;
Nauru;50.60;506,00;;;;;;;;;
Nepal;1.29;36,29;;;;;;;;;
Netherlands;4.89;82,49;;;;;;;;;
New Zealand;0.30;1,35;;;;;;;;;
Nicaragua;0.06;361,00;;;;;;;;;
Niger;4.29;82,06;;;;;;;;;
Nigeria;0.01;1,28;;;;;;;;;
Norway;9.14;47,04;;;;;;;;;
Oman;0.03;122,00;;;;;;;;;
Pakistan;8.33;1540,85;;;;;;;;;
Palau;0.05;1,00;;;;;;;;;
Panama;4.47;2,30;;;;;;;;;
Papua New Guinea;1.27;4,93;;;;;;;;;
Paraguay;0.02;161,00;;;;;;;;;
Peru;0.05;1,41;;;;;;;;;
Philippines;;254,00;;;;;;;;;
Poland;0.41;15,74;;;;;;;;;
Portugal;0.07;699,00;;;;;;;;;
Qatar;0.06;133,00;;;;;;;;;
South Korea;0.03;1,31;;;;;;;;;
