Country Origin;% of country's pop2014 n;2014;;;;;;;;
Afghanistan;7.59;2,596,270;;;;;;;;
Albania;0.35;10;;;;;;;;
Algeria;0.01;4;;;;;;;;
Andorra;0.01;7;;;;;;;;
Angola;0.04;9;;;;;;;;
Antigua and Barbuda;0.06;53;;;;;;;;
Argentina;0.00;318;;;;;;;;
Armenia;0.39;12;;;;;;;;
Australia;0.00;25;;;;;;;;
Austria;0.00;10;;;;;;;;
Azerbaijan;0.11;11;;;;;;;;
Bahamas;0.06;215;;;;;;;;
Bahrain;0.03;347;;;;;;;;
Bangladesh;0.01;11;;;;;;;;
Barbados;0.03;86;;;;;;;;
Belarus;0.05;4;;;;;;;;
Belgium;0.00;75;;;;;;;;
Belize;0.01;45;;;;;;;;
Benin;0.00;340;;;;;;;;
Bhutan;3.00;24;;;;;;;;
Bolivia;0.01;600;;;;;;;;
Bosnia and Herzegovina;0.57;22;;;;;;;;
Botswana;0.01;237;;;;;;;;
Brazil;0.00;977;;;;;;;;
Brunei;0.00;1;;;;;;;;
Bulgaria;0.02;2;;;;;;;;
Burkina Faso;0.01;2;;;;;;;;
Burundi;0.67;72;;;;;;;;
Cambodia;0.09;13;;;;;;;;
Cameroon;0.05;11;;;;;;;;
Canada;0.00;95;;;;;;;;
Cape Verde;0.01;27;;;;;;;;
CAR;7.88;411;;;;;;;;
Cayman Islands;0.01;6;;;;;;;;
Chad;0.11;15;;;;;;;;
Chile;0.00;579;;;;;;;;
China;0.02;211;;;;;;;;
Colombia;0.22;103;;;;;;;;
Comoros;0.08;581;;;;;;;;
Congo;0.32;15;;;;;;;;
Cook Islands;0.00;1;;;;;;;;
Costa Rica;0.01;417;;;;;;;;
Ivory Coast;0.32;72;;;;;;;;
Croatia;0.93;40;;;;;;;;
Cuba;0.06;7;;;;;;;;
Curaçao;0.02;35;;;;;;;;
Cyprus;0.00;10;;;;;;;;
Czech Republic;0.01;1;;;;;;;;
Denmark;0.00;12;;;;;;;;
Djibouti;0.10;879;;;;;;;;
Dominica;0.05;38;;;;;;;;
Dominican Republic;0.00;349;;;;;;;;
DRC;0.69;517;;;;;;;;
Ecuador;0.01;804;;;;;;;;
Egypt;0.02;16;;;;;;;;
El Salvador;0.18;11;;;;;;;;
Equatorial Guinea;0.02;174;;;;;;;;
Eritrea;6.08;331;;;;;;;;
Estonia;0.03;339;;;;;;;;
Ethiopia;0.09;87;;;;;;;;
Fiji;0.10;924;;;;;;;;
Finland;0.00;7;;;;;;;;
France;0.00;93;;;;;;;;
French Polynesia;0.00;;;;;;;;;
Gabon;0.01;172;;;;;;;;
Gambia;0.27;5;;;;;;;;
Georgia;0.17;7;;;;;;;;
Germany;0.00;176;;;;;;;;
Ghana;0.08;22;;;;;;;;
Gibraltar;0.01;2;;;;;;;;
Greece;0.00;113;;;;;;;;
Grenada;0.30;324;;;;;;;;
Guatemala;0.05;7;;;;;;;;
Guinea;0.12;15;;;;;;;;
Guinea-Bissau;0.07;1;;;;;;;;
Guyana;0.09;700;;;;;;;;
Haiti;0.35;37;;;;;;;;
Honduras;0.05;4;;;;;;;;
Hong Kong;0.00;25;;;;;;;;
Hungary;0.01;1;;;;;;;;
Iceland;0.00;1;;;;;;;;
India;0.00;10;;;;;;;;
Indonesia;0.00;10;;;;;;;;
Iran;0.11;82;;;;;;;;
Iraq;1.04;370;;;;;;;;
Ireland;0.00;10;;;;;;;;
Israel;0.01;979;;;;;;;;
Italy;0.00;67;;;;;;;;
Jamaica;0.06;2;;;;;;;;
Japan;0.00;262;;;;;;;;
Jordan;0.02;2;;;;;;;;
Kazakhstan;0.01;2;;;;;;;;
Kenya;0.02;9;;;;;;;;
Kiribati;0.00;3;;;;;;;;
Kuwait;0.03;981;;;;;;;;
Kyrgyzstan;0.04;2;;;;;;;;
Laos;0.11;7;;;;;;;;
Latvia;0.01;213;;;;;;;;
Lebanon;0.08;4;;;;;;;;
Lesotho;0.00;17;;;;;;;;
Liberia;0.31;14;;;;;;;;
Libya;0.07;4;;;;;;;;
Lithuania;0.01;183;;;;;;;;
Luxembourg;0.00;2;;;;;;;;
Macao;0.00;5;;;;;;;;
Macedonia;0.08;2;;;;;;;;
Madagascar;0.00;281;;;;;;;;
Malawi;0.00;361;;;;;;;;
Malaysia;0.00;468;;;;;;;;
Maldives;0.01;36;;;;;;;;
Mali;0.81;139;;;;;;;;
